seq,x,y
0,4.00012541949468,-5.000000111758709
1,3.9895028611383623,-5.01140086833982
2,3.987961113125948,-5.001520497466913
3,3.986851494010125,-4.99158244837264
4,3.9890035935713968,-4.981816518415144
5,3.9907907029064518,-4.97197765144756
6,3.9920724411590527,-4.962060049130173
7,3.9935421676887017,-4.952168691929387
8,3.997749931266526,-4.943097342034491
9,4.002207938979382,-4.934145621043172
10,4.000769950730273,-4.924249686205769
11,3.9969845504242585,-4.914993704967344
12,3.9960507125545064,-4.905037345326605
13,3.99498015593781,-4.895095023771489
14,3.995215751635669,-4.8850977705769765
15,3.9954464645211374,-4.875100212206689
16,3.995614921548622,-4.865102043484853
17,3.995769950842032,-4.85510265405992
18,3.995860282871263,-4.845103264634986
19,3.9959091109951714,-4.835103264858503
20,3.995859062168165,-4.8251038754335696
21,3.9956869430313873,-4.815105096360185
22,3.995790702794693,-4.805105706935251
23,3.995555107096834,-4.795108148564964
24,3.990442802523603,-4.7865137884055
25,3.9851083299865877,-4.778055536641432
26,3.9879598924228503,-4.7684705759181725
27,3.990048515423041,-4.7586909130508275
28,3.9879537889073617,-4.748913081238129
29,3.9859652635611837,-4.739112666418123
30,3.9885836717057828,-4.729461787727587
31,3.990926200950298,-4.719740108257383
32,3.98920500958252,-4.709889644610371
33,3.9876888963351576,-4.700005001276622
34,3.9866427537804157,-4.690059933139537
35,3.9886068650646394,-4.68025463550714
36,3.99012908182749,-4.670371212876489
37,3.9908737107170964,-4.660399289271254
38,3.99143279273585,-4.650414548283493
39,3.991504814218615,-4.640415158858559
40,3.9911422653985937,-4.630421262597565
41,3.9876425096174444,-4.621054197377248
42,3.984591972576254,-4.611530882160423
43,3.985728447160227,-4.601595579648119
44,3.9866830369826403,-4.591641356237801
45,3.988578788893392,-4.581822630871329
46,3.990271904089923,-4.571966674060377
47,3.9912118454751635,-4.562011229946961
48,3.9920980759241047,-4.552050292669605
49,3.9925778122415068,-4.542061889572551
50,3.9929464645770167,-4.532068603663106
51,3.992970878638971,-4.522068603886623
52,3.992721855207037,-4.512071655867885
53,3.991943046630695,-4.502102173668845
54,3.990511161897075,-4.49220532330412
55,3.987168876815531,-4.482780274686661
