elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2070,0.0001,0.0010,0.0001,0.0010,0.0000,1.0000,0,0
1.6040,0.0019,0.0011,0.0019,0.0011,4.3043,0.0135,0,0
1.8040,0.0001,0.0008,0.0001,0.0008,2.3522,0.0952,0,0
2.0040,0.0001,0.0014,0.0001,0.0014,1.6063,0.2006,0,0
2.4030,0.0001,0.0021,0.0001,0.0021,0.2703,0.7632,0,0
2.6030,0.0002,0.0023,0.0002,0.0023,0.2703,0.7632,0,0
2.8040,0.0002,0.0030,0.0002,0.0030,-0.0000,1.0000,0,0
3.0040,0.0002,0.0034,0.0002,0.0034,-0.0000,1.0000,0,0
3.4080,0.0002,0.0034,0.0002,0.0034,0.7176,0.4879,0,0
3.8030,0.0002,0.0042,0.0002,0.0042,0.2024,0.8168,0,0
4.0030,0.0002,0.0044,0.0002,0.0044,0.1014,0.9036,0,0
4.2040,0.0003,0.0046,0.0003,0.0046,0.1014,0.9036,0,0
4.6040,0.0003,0.0057,0.0003,0.0057,2.1968,0.1112,0,0
5.0040,0.0003,0.0068,0.0003,0.0068,1.5213,0.2184,0,0
5.2050,0.0003,0.0074,0.0003,0.0074,0.4319,0.6493,0,0
5.6040,0.0003,0.0084,0.0003,0.0084,0.6073,0.5448,0,0
5.8040,0.0004,0.0089,0.0004,0.0089,0.8064,0.4465,0,0
6.0030,0.0004,0.0098,0.0004,0.0098,0.9043,0.4048,1,1
