elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4040,0.0001,0.0039,0.0001,0.0039,0.0000,1.0000,0,0
1.8030,0.0001,0.0048,0.0001,0.0048,2.3594,0.0945,0,0
2.0040,0.0001,0.0053,0.0001,0.0053,1.5436,0.2136,0,0
2.2040,0.0001,0.0060,0.0001,0.0060,0.4886,0.6135,0,0
2.4040,0.0001,0.0066,0.0001,0.0066,0.2588,0.7719,0,0
2.6040,0.0001,0.0075,0.0001,0.0075,0.1107,0.8952,0,0
2.8040,0.0002,0.0080,0.0002,0.0080,0.1162,0.8903,0,0
3.0040,0.0002,0.0082,0.0002,0.0082,0.1396,0.8697,0,0
3.2070,0.0002,0.0090,0.0002,0.0090,0.2786,0.7568,0,0
3.6050,0.0002,0.0107,0.0002,0.0107,0.1396,0.8697,0,0
3.8060,0.0002,0.0116,0.0002,0.0116,0.1396,0.8697,0,0
4.2030,0.0002,0.0118,0.0002,0.0118,0.2786,0.7568,0,0
4.4050,0.0002,0.0119,0.0002,0.0119,0.1396,0.8697,0,0
4.6060,0.0003,0.0125,0.0003,0.0125,0.0384,0.9623,0,0
5.0070,0.0003,0.0129,0.0003,0.0129,0.0000,1.0000,0,0
5.2070,0.0003,0.0133,0.0003,0.0133,2.9515,0.0523,0,0
5.6040,0.0003,0.0142,0.0003,0.0142,0.2881,0.7497,0,0
5.8060,0.0003,0.0142,0.0003,0.0142,0.2338,0.7915,0,0
6.0040,0.0003,0.0143,0.0003,0.0143,0.0785,0.9245,1,1
