elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4030,0.0001,0.0038,0.0001,0.0038,0.0000,1.0000,0,0
1.6030,0.0019,0.0049,0.0019,0.0049,4.3044,0.0135,0,0
1.8040,0.0001,0.0050,0.0001,0.0050,2.3594,0.0945,0,0
2.0040,0.0001,0.0058,0.0001,0.0058,1.5436,0.2136,0,0
2.2040,0.0001,0.0067,0.0001,0.0067,0.4887,0.6135,0,0
2.4040,0.0001,0.0075,0.0001,0.0075,0.2588,0.7719,0,0
2.8040,0.0002,0.0091,0.0002,0.0091,0.1162,0.8903,0,0
3.0040,0.0002,0.0093,0.0002,0.0093,0.1396,0.8697,0,0
3.4040,0.0002,0.0110,0.0002,0.0110,0.2786,0.7568,0,0
3.8030,0.0002,0.0128,0.0002,0.0128,0.1396,0.8697,0,0
4.0040,0.0002,0.0134,0.0002,0.0134,0.4172,0.6589,0,0
4.4040,0.0003,0.0154,0.0003,0.0154,0.1396,0.8697,0,0
4.6040,0.0003,0.0160,0.0003,0.0160,0.0384,0.9623,0,0
5.0040,0.0003,0.0173,0.0003,0.0173,0.0000,1.0000,0,0
5.2040,0.0003,0.0179,0.0003,0.0179,3.0957,0.0452,0,0
5.4050,0.0003,0.0183,0.0003,0.0183,0.9894,0.3718,0,0
5.6060,0.0003,0.0188,0.0003,0.0188,0.3386,0.7127,0,0
6.0040,0.0004,0.0197,0.0004,0.0197,0.1175,0.8891,1,1
