elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0030,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2030,0.0001,0.0055,0.0001,0.0055,0.0000,1.0000,0,0
1.4030,0.0001,0.0064,0.0001,0.0064,0.0000,1.0000,0,0
1.6030,0.0019,0.0075,0.0019,0.0075,4.3044,0.0135,0,0
1.8070,0.0001,0.0082,0.0001,0.0082,2.4914,0.0828,0,0
2.2040,0.0001,0.0106,0.0001,0.0106,1.1086,0.3300,0,0
2.4060,0.0001,0.0118,0.0001,0.0118,0.6726,0.5104,0,0
2.8030,0.0002,0.0137,0.0002,0.0137,0.2656,0.7667,0,0
3.0030,0.0002,0.0146,0.0002,0.0146,0.2656,0.7667,0,0
3.2060,0.0002,0.0155,0.0002,0.0155,0.1851,0.8310,0,0
3.6060,0.0002,0.0171,0.0002,0.0171,0.0464,0.9547,0,0
3.8060,0.0002,0.0178,0.0002,0.0178,0.0232,0.9770,0,0
4.2070,0.0002,0.0196,0.0002,0.0196,0.0232,0.9770,0,0
4.6030,0.0003,0.0219,0.0003,0.0219,0.0000,1.0000,0,0
4.8030,0.0003,0.0229,0.0003,0.0229,0.0000,1.0000,0,0
5.0040,0.0003,0.0243,0.0003,0.0243,3.6019,0.0273,0,0
5.4030,0.0003,0.0259,0.0003,0.0259,0.9431,0.3894,0,0
5.6040,0.0003,0.0267,0.0003,0.0267,0.6772,0.5080,0,0
6.0040,0.0003,0.0285,0.0003,0.0285,0.0349,0.9657,1,1
