elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0070,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2070,0.0001,0.0128,0.0001,0.0128,0.5037,0.6043,0,0
1.4070,0.0001,0.0152,0.0001,0.0152,0.2110,0.8098,0,0
1.8050,0.0001,0.0198,0.0001,0.0198,0.0014,0.9986,0,0
2.2050,0.0001,0.0249,0.0001,0.0249,0.0014,0.9986,0,0
2.4060,0.0001,0.0277,0.0001,0.0277,0.0014,0.9986,0,0
2.8040,0.0002,0.0327,0.0002,0.0327,0.0011,0.9989,0,0
3.0060,0.0002,0.0354,0.0002,0.0354,0.0014,0.9986,0,0
3.4030,0.0002,0.0399,0.0002,0.0399,0.0042,0.9958,0,0
3.6040,0.0002,0.0420,0.0002,0.0420,0.0042,0.9958,0,0
3.8060,0.0002,0.0447,0.0002,0.0447,0.0014,0.9986,0,0
4.2040,0.0002,0.0503,0.0002,0.0503,0.0014,0.9986,0,0
4.4040,0.0003,0.0530,0.0003,0.0530,0.0028,0.9972,0,0
4.8030,0.0003,0.0588,0.0003,0.0588,0.0056,0.9944,0,0
5.0060,0.0003,0.0612,0.0003,0.0612,0.0098,0.9903,0,0
5.4040,0.0003,0.0665,0.0003,0.0665,0.0084,0.9917,0,0
5.8040,0.0003,0.0717,0.0003,0.0717,0.0139,0.9862,0,0
6.0030,0.0004,0.0738,0.0004,0.0738,0.0179,0.9822,1,1
