elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2070,0.0001,0.0025,0.0001,0.0025,0.0000,1.0000,0,0
1.6080,0.0019,0.0036,0.0019,0.0036,4.3044,0.0135,0,0
2.0040,0.0001,0.0044,0.0001,0.0044,1.6063,0.2006,0,0
2.4090,0.0001,0.0054,0.0001,0.0054,0.2703,0.7632,0,0
2.8070,0.0002,0.0066,0.0002,0.0066,0.0000,1.0000,0,0
3.2050,0.0002,0.0075,0.0002,0.0075,2.1831,0.1127,0,0
3.6040,0.0002,0.0094,0.0002,0.0094,0.8135,0.4433,0,0
4.0040,0.0002,0.0102,0.0002,0.0102,0.4162,0.6596,0,0
4.2080,0.0002,0.0108,0.0002,0.0108,0.6231,0.5363,0,0
4.6040,0.0003,0.0121,0.0003,0.0121,2.6503,0.0706,0,0
4.8070,0.0003,0.0128,0.0003,0.0128,5.1709,0.0057,0,0
5.2030,0.0003,0.0141,0.0003,0.0141,9.9954,0.0000,0,0
5.4050,0.0003,0.0148,0.0003,0.0148,13.6730,0.0000,0,0
5.8040,0.0003,0.0166,0.0003,0.0166,23.6151,0.0000,0,0
6.0070,0.0004,0.0177,0.0004,0.0177,26.1788,0.0000,1,1
