elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4040,0.0002,0.0037,0.0002,0.0037,0.0000,1.0000,0,0
1.6040,0.0002,0.0039,0.0002,0.0039,0.0000,1.0000,0,0
1.8050,0.0002,0.0041,0.0002,0.0041,0.0000,1.0000,0,0
2.2030,0.0003,0.0050,0.0003,0.0050,0.0000,1.0000,0,0
2.4100,0.0003,0.0056,0.0003,0.0056,0.0000,1.0000,0,0
2.8030,0.0004,0.0066,0.0004,0.0066,0.0000,1.0000,0,0
3.0050,0.0004,0.0073,0.0004,0.0073,0.0000,1.0000,0,0
3.4040,0.0004,0.0087,0.0004,0.0087,0.0000,1.0000,0,0
3.8040,0.0005,0.0102,0.0005,0.0102,0.0000,1.0000,0,0
4.0040,0.0005,0.0110,0.0005,0.0110,0.0000,1.0000,0,0
4.2040,0.0006,0.0117,0.0006,0.0117,0.0000,1.0000,0,0
4.6040,0.0006,0.0135,0.0006,0.0135,0.0000,1.0000,0,0
4.8040,0.0006,0.0144,0.0006,0.0144,0.0000,1.0000,0,0
5.0040,0.0007,0.0155,0.0007,0.0155,0.0000,1.0000,0,0
5.2040,0.0007,0.0159,0.0007,0.0159,0.0000,1.0000,0,0
5.4050,0.0007,0.0164,0.0007,0.0164,0.0000,1.0000,0,0
5.8070,0.0008,0.0173,0.0008,0.0173,0.0000,1.0000,0,0
6.0040,0.0008,0.0177,0.0008,0.0177,0.0000,1.0000,1,1
