elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0050,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2050,0.0001,0.0025,0.0001,0.0025,0.0000,1.0000,0,0
1.4050,0.0001,0.0028,0.0001,0.0028,0.0000,1.0000,0,0
1.6070,0.0001,0.0026,0.0001,0.0026,4.3043,0.0135,0,0
2.0050,0.0001,0.0032,0.0001,0.0032,1.6063,0.2006,0,0
2.2050,0.0001,0.0031,0.0001,0.0031,0.7392,0.4775,0,0
2.4050,0.0001,0.0033,0.0001,0.0033,0.2703,0.7632,0,0
2.6050,0.0001,0.0037,0.0001,0.0037,0.2703,0.7632,0,0
2.8050,0.0002,0.0040,0.0002,0.0040,0.0000,1.0000,0,0
3.2050,0.0002,0.0052,0.0002,0.0052,1.5099,0.2209,0,0
3.4090,0.0002,0.0052,0.0002,0.0052,0.6345,0.5302,0,0
3.8050,0.0002,0.0057,0.0002,0.0057,0.0650,0.9370,0,0
4.0050,0.0002,0.0059,0.0002,0.0059,0.8822,0.4139,0,0
4.2050,0.0002,0.0058,0.0002,0.0058,0.4405,0.6437,0,0
4.6070,0.0003,0.0058,0.0003,0.0058,0.0024,0.9976,0,0
5.0050,0.0003,0.0066,0.0003,0.0066,2.2496,0.1054,0,0
5.2050,0.0003,0.0073,0.0003,0.0073,2.2834,0.1019,0,0
5.4050,0.0003,0.0072,0.0003,0.0072,2.0055,0.1346,0,0
5.6050,0.0003,0.0075,0.0003,0.0075,1.7439,0.1748,0,0
5.8070,0.0004,0.0081,0.0004,0.0081,2.6695,0.0693,0,0
6.0040,0.0004,0.0083,0.0004,0.0083,3.0135,0.0491,1,1
