elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0030,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2030,0.0001,0.0040,0.0001,0.0040,0.0000,1.0000,0,0
1.4040,0.0001,0.0049,0.0001,0.0049,0.0000,1.0000,0,0
1.6060,0.0001,0.0058,0.0001,0.0058,0.0000,1.0000,0,0
2.0040,0.0001,0.0078,0.0001,0.0078,0.0000,1.0000,0,0
2.4040,0.0001,0.0089,0.0001,0.0089,0.0000,1.0000,0,0
2.8040,0.0002,0.0104,0.0002,0.0104,0.0000,1.0000,0,0
3.0040,0.0002,0.0107,0.0002,0.0107,0.0000,1.0000,0,0
3.2040,0.0002,0.0118,0.0002,0.0118,0.0000,1.0000,0,0
3.4040,0.0002,0.0125,0.0002,0.0125,0.0000,1.0000,0,0
3.6040,0.0002,0.0131,0.0002,0.0131,0.0000,1.0000,0,0
3.8040,0.0002,0.0141,0.0002,0.0141,0.0000,1.0000,0,0
4.0040,0.0002,0.0143,0.0002,0.0143,0.0000,1.0000,0,0
4.2040,0.0002,0.0151,0.0002,0.0151,0.0000,1.0000,0,0
4.6070,0.0003,0.0176,0.0003,0.0176,0.0000,1.0000,0,0
5.0040,0.0003,0.0197,0.0003,0.0197,0.0000,1.0000,0,0
5.4040,0.0003,0.0206,0.0003,0.0206,0.0000,1.0000,0,0
5.6040,0.0003,0.0214,0.0003,0.0214,0.0000,1.0000,0,0
5.8060,0.0004,0.0216,0.0004,0.0216,0.0000,1.0000,0,0
6.0040,0.0004,0.0222,0.0004,0.0222,0.0000,1.0000,1,1
