elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0030,0.0912,0.0053,0.0912,0.0053,0.3281,0.7203,0,0
1.2080,0.1956,0.0004,0.1956,0.0004,0.2558,0.7743,0,0
1.4080,0.2753,0.0145,0.2753,0.0145,0.2137,0.8076,0,0
1.8040,0.4267,0.0170,0.4267,0.0170,0.1278,0.8800,0,0
2.2040,0.4847,0.0159,0.4847,0.0159,0.0731,0.9295,0,0
2.4050,0.5135,0.0162,0.5135,0.0162,0.0489,0.9523,0,0
2.6070,0.5352,0.0148,0.5352,0.0148,0.0354,0.9652,0,0
2.8080,0.5591,0.0202,0.5591,0.0202,0.0247,0.9756,0,0
3.2040,0.5784,0.0155,0.5784,0.0155,0.0158,0.9844,0,0
3.4040,0.5890,0.0148,0.5890,0.0148,0.0139,0.9862,0,0
3.6040,0.5943,0.0145,0.5943,0.0145,0.0126,0.9875,0,0
3.8080,0.5927,0.0144,0.5927,0.0144,0.0105,0.9895,0,0
4.2070,0.5943,0.0169,0.5943,0.0169,0.0086,0.9914,0,0
4.6030,0.5930,0.0182,0.5930,0.0182,0.0060,0.9940,0,0
4.8030,0.5922,0.0200,0.5922,0.0200,0.0054,0.9947,0,0
5.0060,0.5953,0.0197,0.5953,0.0197,0.0044,0.9956,0,0
5.4060,0.5949,0.0182,0.5949,0.0182,0.0034,0.9966,0,0
5.8030,0.5944,0.0166,0.5944,0.0166,0.0029,0.9971,0,0
6.0030,0.5931,0.0163,0.5931,0.0163,0.0027,0.9973,0,0
6.2030,0.5949,0.0170,0.5949,0.0170,0.0023,0.9977,0,0
6.4080,0.5956,0.0173,0.5956,0.0173,0.0021,0.9979,0,0
6.8030,0.5939,0.0170,0.5939,0.0170,0.0017,0.9983,0,0
7.0040,0.5941,0.0156,0.5941,0.0156,0.0017,0.9983,0,0
7.2070,0.5951,0.0150,0.5951,0.0150,0.0015,0.9985,0,0
7.6050,0.5969,0.0133,0.5969,0.0133,0.0013,0.9987,0,0
7.8050,0.5974,0.0122,0.5974,0.0122,0.0013,0.9988,0,0
8.2050,0.5979,0.0102,0.5979,0.0102,0.0012,0.9988,0,0
8.6030,0.5970,0.0073,0.5970,0.0073,0.0013,0.9987,0,0
8.8080,0.5968,0.0063,0.5968,0.0063,0.0012,0.9988,0,0
9.0090,0.5966,0.0053,0.5966,0.0053,0.0012,0.9988,0,0
9.4040,0.5969,0.0034,0.5969,0.0034,0.0011,0.9989,0,0
9.6040,0.5974,0.0026,0.5974,0.0026,0.0010,0.9990,0,0
9.8040,0.5984,0.0025,0.5984,0.0025,0.0008,0.9992,0,0
10.0040,0.5989,0.0024,0.5989,0.0024,0.0008,0.9992,0,0
10.2070,0.5993,0.0018,0.5993,0.0018,0.0007,0.9993,0,0
10.6030,0.6000,0.0004,0.6000,0.0004,0.0006,0.9994,0,0
10.8030,0.6012,0.0001,0.6012,0.0001,0.0004,0.9996,0,0
11.0060,0.6010,0.0013,0.6010,0.0013,0.0004,0.9996,0,0
11.4030,0.6012,0.0039,0.6012,0.0039,0.0004,0.9996,0,0
11.6040,0.6014,0.0044,0.6014,0.0044,0.0003,0.9997,0,0
11.8040,0.6017,0.0057,0.6017,0.0057,0.0003,0.9997,0,0
12.0040,0.6017,0.0067,0.6017,0.0067,0.0003,0.9997,0,0
