elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2040,0.0001,0.0090,0.0001,0.0090,0.0000,1.0000,0,0
1.4060,0.0001,0.0110,0.0001,0.0110,0.0000,1.0000,0,0
1.6060,0.0001,0.0126,0.0001,0.0126,0.0000,1.0000,0,0
2.0040,0.0001,0.0152,0.0001,0.0152,0.0000,1.0000,0,0
2.2060,0.0001,0.0167,0.0001,0.0167,0.0000,1.0000,0,0
2.6040,0.0002,0.0202,0.0002,0.0202,0.0000,1.0000,0,0
2.8040,0.0002,0.0218,0.0002,0.0218,0.0000,1.0000,0,0
3.0040,0.0002,0.0228,0.0002,0.0228,0.0000,1.0000,0,0
3.2040,0.0002,0.0241,0.0002,0.0241,0.0000,1.0000,0,0
3.6040,0.0002,0.0273,0.0002,0.0273,0.0000,1.0000,0,0
3.8060,0.0002,0.0295,0.0002,0.0295,0.0000,1.0000,0,0
4.2040,0.0003,0.0324,0.0003,0.0324,0.0000,1.0000,0,0
4.4040,0.0003,0.0342,0.0003,0.0342,0.0000,1.0000,0,0
4.8030,0.0003,0.0375,0.0003,0.0375,0.0000,1.0000,0,0
5.0040,0.0003,0.0389,0.0003,0.0389,0.0000,1.0000,0,0
5.2050,0.0003,0.0406,0.0003,0.0406,0.0000,1.0000,0,0
5.6050,0.0003,0.0433,0.0003,0.0433,0.0000,1.0000,0,0
6.0050,0.0004,0.0465,0.0004,0.0465,0.0000,1.0000,1,1
