elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0030,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2060,0.0001,0.0028,0.0001,0.0028,0.0000,1.0000,0,0
1.6030,0.0001,0.0042,0.0001,0.0042,4.3043,0.0135,0,0
1.8040,0.0001,0.0052,0.0001,0.0052,2.0755,0.1255,0,0
2.2060,0.0001,0.0066,0.0001,0.0066,0.0153,0.9848,0,0
2.4080,0.0001,0.0070,0.0001,0.0070,0.0000,1.0000,0,0
2.8040,0.0002,0.0098,0.0002,0.0098,0.8563,0.4247,0,0
3.0040,0.0002,0.0110,0.0002,0.0110,0.9482,0.3874,0,0
3.2040,0.0002,0.0116,0.0002,0.0116,0.5248,0.5916,0,0
3.6040,0.0002,0.0134,0.0002,0.0134,0.8355,0.4337,0,0
4.0030,0.0002,0.0137,0.0002,0.0137,1.6481,0.1924,0,0
4.2070,0.0002,0.0142,0.0002,0.0142,2.7285,0.0653,0,0
4.6030,0.0003,0.0157,0.0003,0.0157,3.2999,0.0369,0,0
4.8050,0.0003,0.0161,0.0003,0.0161,4.4051,0.0122,0,0
5.0060,0.0003,0.0171,0.0003,0.0171,4.5845,0.0102,0,0
5.4080,0.0003,0.0176,0.0003,0.0176,6.1377,0.0022,0,0
5.8040,0.0004,0.0188,0.0004,0.0188,7.2710,0.0007,0,0
6.0040,0.0004,0.0196,0.0004,0.0196,7.3495,0.0006,1,1
