elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0080,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4030,0.0001,0.0169,0.0001,0.0169,0.0000,1.0000,0,0
1.6050,0.0001,0.0198,0.0001,0.0198,0.0000,1.0000,0,0
1.8050,0.0001,0.0225,0.0001,0.0225,0.0000,1.0000,0,0
2.2030,0.0001,0.0284,0.0001,0.0284,0.0000,1.0000,0,0
2.4040,0.0001,0.0308,0.0001,0.0308,0.0000,1.0000,0,0
2.6040,0.0001,0.0336,0.0001,0.0336,0.0000,1.0000,0,0
3.0040,0.0002,0.0386,0.0002,0.0386,0.0000,1.0000,0,0
3.4050,0.0002,0.0441,0.0002,0.0441,0.0000,1.0000,0,0
3.8030,0.0002,0.0495,0.0002,0.0495,0.0000,1.0000,0,0
4.0030,0.0002,0.0525,0.0002,0.0525,0.0000,1.0000,0,0
4.2050,0.0002,0.0555,0.0002,0.0555,0.0000,1.0000,0,0
4.6030,0.0003,0.0609,0.0003,0.0609,0.0000,1.0000,0,0
4.8080,0.0003,0.0638,0.0003,0.0638,0.0000,1.0000,0,0
5.0080,0.0003,0.0665,0.0003,0.0665,0.0000,1.0000,0,0
5.4050,0.0003,0.0727,0.0003,0.0727,0.0000,1.0000,0,0
5.8040,0.0003,0.0789,0.0003,0.0789,0.0000,1.0000,0,0
