elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0070,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4070,0.0001,0.0116,0.0001,0.0116,0.0000,1.0000,0,0
1.8030,0.0001,0.0151,0.0001,0.0151,0.0000,1.0000,0,0
2.0030,0.0002,0.0172,0.0002,0.0172,0.0000,1.0000,0,0
2.2030,0.0002,0.0195,0.0002,0.0195,0.0000,1.0000,0,0
2.4040,0.0002,0.0219,0.0002,0.0219,0.0000,1.0000,0,0
2.6070,0.0002,0.0238,0.0002,0.0238,0.0000,1.0000,0,0
3.0040,0.0002,0.0274,0.0002,0.0274,0.0000,1.0000,0,0
3.2060,0.0003,0.0296,0.0003,0.0296,0.0000,1.0000,0,0
3.6070,0.0003,0.0336,0.0003,0.0336,0.0000,1.0000,0,0
4.0030,0.0003,0.0381,0.0003,0.0381,0.0000,1.0000,0,0
4.2040,0.0003,0.0404,0.0003,0.0404,0.0000,1.0000,0,0
4.4060,0.0004,0.0427,0.0004,0.0427,0.0000,1.0000,0,0
4.8070,0.0004,0.0480,0.0004,0.0480,0.0000,1.0000,0,0
5.2050,0.0004,0.0521,0.0004,0.0521,0.0000,1.0000,0,0
5.4050,0.0004,0.0540,0.0004,0.0540,0.0000,1.0000,0,0
5.8030,0.0005,0.0579,0.0005,0.0579,0.0000,1.0000,0,0
6.0030,0.0005,0.0596,0.0005,0.0596,0.0000,1.0000,0,0
