elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0030,0.1017,0.0012,0.1017,0.0012,0.3193,0.7267,0,0
1.2040,0.2003,0.0148,0.2003,0.0148,0.2545,0.7753,0,0
1.4060,0.2677,0.0374,0.2677,0.0374,0.2097,0.8109,0,0
1.8060,0.4226,0.0674,0.4226,0.0674,0.1241,0.8833,0,0
2.2040,0.4808,0.0766,0.4808,0.0766,0.0696,0.9328,0,0
2.4040,0.4885,0.0720,0.4885,0.0720,0.0548,0.9467,0,0
2.8040,0.4940,0.0758,0.4940,0.0758,0.0397,0.9611,0,0
3.0040,0.5014,0.0759,0.5014,0.0759,0.0312,0.9693,0,0
3.2040,0.5049,0.0779,0.5049,0.0779,0.0289,0.9715,0,0
3.4040,0.5009,0.0747,0.5009,0.0747,0.0246,0.9757,0,0
3.6050,0.5093,0.0744,0.5093,0.0744,0.0215,0.9787,0,0
4.0060,0.5048,0.0733,0.5048,0.0733,0.0197,0.9805,0,0
4.4040,0.5033,0.0756,0.5033,0.0756,0.0173,0.9829,0,0
4.6070,0.4966,0.0728,0.4966,0.0728,0.0156,0.9846,0,0
5.0040,0.5033,0.0713,0.5033,0.0713,0.0142,0.9859,0,0
5.2040,0.5003,0.0691,0.5003,0.0691,0.0139,0.9862,0,0
5.4050,0.4943,0.0691,0.4943,0.0691,0.0127,0.9874,0,0
5.8030,0.4925,0.0660,0.4925,0.0660,0.0120,0.9881,0,0
6.0040,0.4943,0.0681,0.4943,0.0681,0.0121,0.9879,0,0
6.2040,0.4943,0.0675,0.4943,0.0675,0.0120,0.9881,0,0
6.4040,0.4957,0.0654,0.4957,0.0654,0.0118,0.9883,0,0
6.6040,0.4949,0.0666,0.4949,0.0666,0.0120,0.9881,0,0
7.0030,0.4939,0.0676,0.4939,0.0676,0.0116,0.9885,0,0
7.2070,0.4926,0.0686,0.4926,0.0686,0.0117,0.9884,0,0
7.6050,0.4864,0.0662,0.4864,0.0662,0.0108,0.9893,0,0
8.0040,0.4851,0.0663,0.4851,0.0663,0.0102,0.9899,0,0
8.4040,0.4849,0.0648,0.4849,0.0648,0.0098,0.9903,0,0
8.8080,0.4700,0.0637,0.4700,0.0637,0.0082,0.9918,0,0
9.2040,0.4654,0.0633,0.4654,0.0633,0.0076,0.9924,0,0
9.4070,0.4662,0.0655,0.4662,0.0655,0.0079,0.9921,0,0
9.8040,0.4648,0.0661,0.4648,0.0661,0.0078,0.9923,0,0
10.0040,0.4654,0.0671,0.4654,0.0671,0.0077,0.9923,0,0
10.4040,0.4655,0.0682,0.4655,0.0682,0.0073,0.9928,0,0
10.8060,0.4724,0.0694,0.4724,0.0694,0.0072,0.9928,0,0
11.2030,0.4762,0.0719,0.4762,0.0719,0.0073,0.9927,0,0
11.4030,0.4769,0.0731,0.4769,0.0731,0.0073,0.9927,0,0
11.6030,0.4796,0.0736,0.4796,0.0736,0.0073,0.9927,0,0
11.8040,0.4820,0.0749,0.4820,0.0749,0.0074,0.9926,0,0
12.0050,0.4823,0.0761,0.4823,0.0761,0.0074,0.9926,0,0
