elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0050,0.1114,0.0198,0.1114,0.0198,0.3014,0.7398,0,0
1.4060,0.2663,0.0261,0.2663,0.0261,0.2132,0.8080,0,0
1.8050,0.4262,0.0398,0.4262,0.0398,0.1300,0.8781,0,0
2.2030,0.5599,0.0271,0.5599,0.0271,0.0608,0.9410,0,0
2.4040,0.5822,0.0257,0.5822,0.0257,0.0447,0.9563,0,0
2.6040,0.6060,0.0280,0.6060,0.0280,0.0305,0.9700,0,0
2.8050,0.6242,0.0227,0.6242,0.0227,0.0214,0.9789,0,0
3.2030,0.6318,0.0296,0.6318,0.0296,0.0161,0.9840,0,0
3.4030,0.6359,0.0312,0.6359,0.0312,0.0145,0.9856,0,0
3.6050,0.6411,0.0334,0.6411,0.0334,0.0125,0.9876,0,0
3.8050,0.6457,0.0349,0.6457,0.0349,0.0103,0.9898,0,0
4.2060,0.6459,0.0413,0.6459,0.0413,0.0082,0.9919,0,0
4.6030,0.6550,0.0398,0.6550,0.0398,0.0075,0.9925,0,0
4.8050,0.6602,0.0379,0.6602,0.0379,0.0077,0.9923,0,0
5.0050,0.6618,0.0369,0.6618,0.0369,0.0080,0.9920,0,0
5.2050,0.6609,0.0392,0.6609,0.0392,0.0081,0.9919,0,0
5.4070,0.6618,0.0384,0.6618,0.0384,0.0085,0.9916,0,0
5.8060,0.6689,0.0391,0.6689,0.0391,0.0083,0.9917,0,0
6.2070,0.6772,0.0348,0.6772,0.0348,0.0089,0.9911,0,0
6.6040,0.6775,0.0328,0.6775,0.0328,0.0092,0.9909,0,0
6.8080,0.6786,0.0331,0.6786,0.0331,0.0094,0.9906,0,0
7.2050,0.6871,0.0328,0.6871,0.0328,0.0085,0.9915,0,0
7.6060,0.6931,0.0301,0.6931,0.0301,0.0083,0.9917,0,0
8.0040,0.6985,0.0290,0.6985,0.0290,0.0083,0.9917,0,0
8.2070,0.6986,0.0280,0.6986,0.0280,0.0083,0.9917,0,0
8.6040,0.7008,0.0271,0.7008,0.0271,0.0078,0.9922,0,0
8.8040,0.7051,0.0260,0.7051,0.0260,0.0071,0.9929,0,0
9.2030,0.7076,0.0270,0.7076,0.0270,0.0065,0.9935,0,0
9.4030,0.7113,0.0272,0.7113,0.0272,0.0059,0.9942,0,0
9.6070,0.7118,0.0275,0.7118,0.0275,0.0055,0.9945,0,0
10.0040,0.7144,0.0297,0.7144,0.0297,0.0051,0.9949,0,0
10.2070,0.7157,0.0303,0.7157,0.0303,0.0048,0.9952,0,0
10.6080,0.7180,0.0310,0.7180,0.0310,0.0039,0.9961,0,0
11.0040,0.7205,0.0322,0.7205,0.0322,0.0032,0.9969,0,0
11.2040,0.7208,0.0326,0.7208,0.0326,0.0028,0.9972,0,0
11.6070,0.7216,0.0344,0.7216,0.0344,0.0024,0.9976,0,0
12.0040,0.7216,0.0372,0.7216,0.0372,0.0023,0.9977,0,0
