elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0050,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4030,0.0001,0.0043,0.0001,0.0043,0.0000,1.0000,0,0
1.6040,0.0001,0.0052,0.0001,0.0052,0.0000,1.0000,0,0
2.0050,0.0001,0.0070,0.0001,0.0070,0.0000,1.0000,0,0
2.4030,0.0001,0.0089,0.0001,0.0089,0.0000,1.0000,0,0
2.6030,0.0002,0.0097,0.0002,0.0097,0.0000,1.0000,0,0
2.8030,0.0002,0.0105,0.0002,0.0105,0.0000,1.0000,0,0
3.0070,0.0002,0.0112,0.0002,0.0112,0.0000,1.0000,0,0
3.4070,0.0002,0.0122,0.0002,0.0122,0.0000,1.0000,0,0
3.8050,0.0002,0.0142,0.0002,0.0142,0.0000,1.0000,0,0
4.2040,0.0003,0.0165,0.0003,0.0165,0.0000,1.0000,0,0
4.4040,0.0003,0.0172,0.0003,0.0172,0.0000,1.0000,0,0
4.6040,0.0003,0.0183,0.0003,0.0183,0.0000,1.0000,0,0
4.8070,0.0003,0.0195,0.0003,0.0195,0.0000,1.0000,0,0
5.2040,0.0003,0.0220,0.0003,0.0220,0.0000,1.0000,0,0
5.4050,0.0003,0.0229,0.0003,0.0229,0.0000,1.0000,0,0
5.8030,0.0004,0.0247,0.0004,0.0247,0.0000,1.0000,0,0
6.0030,0.0004,0.0256,0.0004,0.0256,0.0000,1.0000,1,1
