elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4040,0.0001,0.0106,0.0001,0.0106,0.0000,1.0000,0,0
1.8040,0.0001,0.0138,0.0001,0.0138,0.0000,1.0000,0,0
2.2040,0.0001,0.0171,0.0001,0.0171,0.0000,1.0000,0,0
2.4040,0.0001,0.0190,0.0001,0.0190,0.0000,1.0000,0,0
2.6040,0.0001,0.0202,0.0001,0.0202,0.0000,1.0000,0,0
3.0030,0.0002,0.0242,0.0002,0.0242,0.0000,1.0000,0,0
3.2030,0.0002,0.0265,0.0002,0.0265,0.0000,1.0000,0,0
3.4040,0.0002,0.0287,0.0002,0.0287,0.0000,1.0000,0,0
3.6040,0.0002,0.0312,0.0002,0.0312,0.0000,1.0000,0,0
3.8070,0.0002,0.0326,0.0002,0.0326,0.0000,1.0000,0,0
4.2050,0.0002,0.0364,0.0002,0.0364,0.0000,1.0000,0,0
4.4070,0.0003,0.0389,0.0003,0.0389,0.0000,1.0000,0,0
4.8040,0.0003,0.0432,0.0003,0.0432,0.0000,1.0000,0,0
5.2040,0.0003,0.0469,0.0003,0.0469,0.0000,1.0000,0,0
5.4040,0.0003,0.0491,0.0003,0.0491,0.0000,1.0000,0,0
5.6050,0.0003,0.0505,0.0003,0.0505,0.0000,1.0000,0,0
6.0040,0.0004,0.0544,0.0004,0.0544,0.0000,1.0000,1,1
