elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0050,0.0756,0.0122,0.0756,0.0122,0.2345,0.7910,0,0
1.4070,0.2389,0.0004,0.2389,0.0004,0.1648,0.8480,0,0
1.6070,0.3143,0.0126,0.3143,0.0126,0.1312,0.8771,0,0
2.0040,0.4060,0.0300,0.4060,0.0300,0.0820,0.9212,0,0
2.2040,0.4493,0.0315,0.4493,0.0315,0.0641,0.9379,0,0
2.4040,0.4592,0.0291,0.4592,0.0291,0.0529,0.9485,0,0
2.6040,0.4821,0.0278,0.4821,0.0278,0.0406,0.9602,0,0
2.8060,0.5024,0.0295,0.5024,0.0295,0.0314,0.9690,0,0
3.2040,0.5373,0.0275,0.5373,0.0275,0.0204,0.9799,0,0
3.4080,0.5510,0.0267,0.5510,0.0267,0.0161,0.9840,0,0
3.8050,0.5679,0.0250,0.5679,0.0250,0.0142,0.9859,0,0
4.0060,0.5754,0.0262,0.5754,0.0262,0.0145,0.9856,0,0
4.4040,0.5925,0.0282,0.5925,0.0282,0.0087,0.9913,0,0
4.6050,0.5969,0.0271,0.5969,0.0271,0.0081,0.9919,0,0
4.8060,0.5994,0.0264,0.5994,0.0264,0.0077,0.9924,0,0
5.2040,0.6005,0.0254,0.6005,0.0254,0.0071,0.9929,0,0
5.4070,0.5975,0.0224,0.5975,0.0224,0.0073,0.9927,0,0
5.8060,0.5965,0.0191,0.5965,0.0191,0.0075,0.9926,0,0
6.0080,0.5932,0.0167,0.5932,0.0167,0.0076,0.9924,0,0
6.4040,0.5957,0.0141,0.5957,0.0141,0.0075,0.9925,0,0
6.6060,0.5972,0.0129,0.5972,0.0129,0.0073,0.9927,0,0
7.0030,0.5995,0.0119,0.5995,0.0119,0.0071,0.9930,0,0
7.2060,0.5975,0.0103,0.5975,0.0103,0.0072,0.9928,0,0
7.6050,0.6024,0.0093,0.6024,0.0093,0.0069,0.9932,0,0
8.0040,0.6072,0.0097,0.6072,0.0097,0.0062,0.9938,0,0
8.2040,0.6086,0.0094,0.6086,0.0094,0.0060,0.9941,0,0
8.4050,0.6154,0.0123,0.6154,0.0123,0.0047,0.9953,0,0
8.8040,0.6160,0.0108,0.6160,0.0108,0.0046,0.9954,0,0
9.0040,0.6203,0.0119,0.6203,0.0119,0.0035,0.9965,0,0
9.4040,0.6229,0.0126,0.6229,0.0126,0.0030,0.9970,0,0
9.8060,0.6255,0.0114,0.6255,0.0114,0.0024,0.9976,0,0
10.0080,0.6267,0.0123,0.6267,0.0123,0.0021,0.9979,0,0
10.4070,0.6294,0.0149,0.6294,0.0149,0.0012,0.9988,0,0
10.8060,0.6290,0.0174,0.6290,0.0174,0.0015,0.9985,0,0
11.2050,0.6309,0.0190,0.6309,0.0190,0.0010,0.9990,0,0
11.6060,0.6311,0.0196,0.6311,0.0196,0.0010,0.9990,0,0
12.0040,0.6320,0.0236,0.6320,0.0236,0.0007,0.9993,0,0
