elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2040,0.0003,0.0033,0.0003,0.0033,0.0000,1.0000,0,0
1.4040,0.0003,0.0034,0.0003,0.0034,0.0000,1.0000,0,0
1.6060,0.0004,0.0046,0.0004,0.0046,0.0000,1.0000,0,0
2.0040,0.0005,0.0058,0.0005,0.0058,0.0000,1.0000,0,0
2.2070,0.0005,0.0068,0.0005,0.0068,0.0000,1.0000,0,0
2.6040,0.0006,0.0082,0.0006,0.0082,0.0000,1.0000,0,0
2.8050,0.0007,0.0093,0.0007,0.0093,0.9014,0.4060,0,0
3.2030,0.0007,0.0094,0.0007,0.0094,0.5384,0.5837,0,0
3.4050,0.0008,0.0098,0.0008,0.0098,0.8567,0.4246,0,0
3.8040,0.0009,0.0106,0.0009,0.0106,1.5132,0.2202,0,0
4.0050,0.0009,0.0115,0.0009,0.0115,2.5360,0.0792,0,0
4.4030,0.0010,0.0122,0.0010,0.0122,4.2609,0.0141,0,0
4.6040,0.0011,0.0132,0.0011,0.0132,4.9718,0.0069,0,0
4.8040,0.0011,0.0134,0.0011,0.0134,6.5398,0.0014,0,0
5.2030,0.0012,0.0143,0.0012,0.0143,8.5256,0.0002,0,0
5.4030,0.0013,0.0145,0.0013,0.0145,10.2154,0.0000,0,0
5.6030,5.4104,0.3072,5.4104,0.3072,11.2294,0.0000,0,0
5.8030,5.4104,0.3066,5.4104,0.3066,11.3549,0.0000,0,0
6.0040,5.4103,0.3061,5.4103,0.3061,11.4567,0.0000,0,0
