elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0070,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4050,0.0001,0.0156,0.0001,0.0156,0.0077,0.9924,0,0
1.6050,0.0001,0.0179,0.0001,0.0179,0.0549,0.9466,0,0
1.8050,0.0001,0.0200,0.0001,0.0200,0.0282,0.9722,0,0
2.2040,0.0043,0.0259,0.0043,0.0259,1.4970,0.2238,0,0
2.4050,0.0104,0.0293,0.0104,0.0293,0.4384,0.6451,0,0
2.6070,0.0124,0.0322,0.0124,0.0322,0.1972,0.8210,0,0
3.0050,0.0144,0.0377,0.0144,0.0377,0.0147,0.9854,0,0
3.2070,0.0185,0.0411,0.0185,0.0411,0.0189,0.9813,0,0
3.6050,0.0226,0.0467,0.0226,0.0467,0.0229,0.9773,0,0
3.8060,0.0307,0.0504,0.0307,0.0504,0.0310,0.9694,0,0
4.2040,0.0715,0.0621,0.0715,0.0621,0.0694,0.9329,0,0
4.4050,0.1081,0.0705,0.1081,0.0705,0.1011,0.9039,0,0
4.6060,0.1732,0.0834,0.1732,0.0834,0.1505,0.8602,0,0
5.0070,0.2404,0.0993,0.2404,0.0993,0.1924,0.8250,0,0
5.4050,0.4358,0.1372,0.4358,0.1372,0.2615,0.7699,0,0
5.6060,0.5213,0.1543,0.5213,0.1543,0.2670,0.7656,0,0
5.8070,0.5987,0.1693,0.5987,0.1693,0.2591,0.7717,0,0
