elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2060,0.0001,0.0107,0.0001,0.0107,0.0000,1.0000,0,0
1.6050,0.0001,0.0145,0.0001,0.0145,0.0000,1.0000,0,0
1.8050,0.0001,0.0166,0.0001,0.0166,0.0000,1.0000,0,0
2.2070,0.0001,0.0209,0.0001,0.0209,0.0000,1.0000,0,0
2.6040,0.0002,0.0248,0.0002,0.0248,0.0000,1.0000,0,0
2.8040,0.0002,0.0269,0.0002,0.0269,0.0000,1.0000,0,0
3.2040,0.0002,0.0315,0.0002,0.0315,0.0000,1.0000,0,0
3.4040,0.0002,0.0335,0.0002,0.0335,0.0000,1.0000,0,0
3.6040,0.0002,0.0355,0.0002,0.0355,0.0000,1.0000,0,0
4.0050,0.0002,0.0394,0.0002,0.0394,0.0000,1.0000,0,0
4.4030,0.0003,0.0436,0.0003,0.0436,0.0000,1.0000,0,0
4.6090,0.0003,0.0458,0.0003,0.0458,0.0000,1.0000,0,0
5.0050,0.0003,0.0496,0.0003,0.0496,0.0000,1.0000,0,0
5.4030,0.0003,0.0538,0.0003,0.0538,0.0000,1.0000,0,0
5.6050,0.0003,0.0561,0.0003,0.0561,0.0000,1.0000,0,0
6.0040,0.0004,0.0595,0.0004,0.0595,0.0000,1.0000,0,0
