elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4040,0.0001,0.0012,0.0001,0.0012,-0.0000,1.0000,0,0
1.8040,0.0001,0.0008,0.0001,0.0008,2.3522,0.0952,0,0
2.0040,0.0001,0.0004,0.0001,0.0004,1.6063,0.2006,0,0
2.4040,0.0001,0.0001,0.0001,0.0001,0.2703,0.7632,0,0
2.8040,0.0002,0.0008,0.0002,0.0008,-0.0000,1.0000,0,0
3.0040,0.0002,0.0011,0.0002,0.0011,-0.0000,1.0000,0,0
3.2040,0.0002,0.0012,0.0002,0.0012,2.1731,0.1138,0,0
3.4060,0.0002,0.0013,0.0002,0.0013,0.7176,0.4879,0,0
3.6060,0.0002,0.0014,0.0002,0.0014,0.4971,0.6083,0,0
4.0040,0.0002,0.0020,0.0002,0.0020,0.1014,0.9036,0,0
4.4040,0.0003,0.0025,0.0003,0.0025,0.0730,0.9296,0,0
4.6040,0.0003,0.0029,0.0003,0.0029,2.1275,0.1191,0,0
4.8040,0.0003,0.0030,0.0003,0.0030,2.1071,0.1216,0,0
5.0050,0.0003,0.0031,0.0003,0.0031,1.5242,0.2178,0,0
5.4040,0.0003,0.0033,0.0003,0.0033,0.4059,0.6664,0,0
5.8060,0.0004,0.0032,0.0004,0.0032,0.4091,0.6642,0,0
6.0030,0.0004,0.0040,0.0004,0.0040,0.4091,0.6642,1,1
