elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0030,0.0269,0.0075,0.0269,0.0075,0.0868,0.9169,0,0
1.2030,0.0942,0.0204,0.0942,0.0204,0.0813,0.9219,0,0
1.4080,0.1523,0.0265,0.1523,0.0265,0.0765,0.9264,0,0
1.8080,0.2513,0.0427,0.2513,0.0427,0.0632,0.9387,0,0
2.0080,0.2890,0.0492,0.2890,0.0492,0.0546,0.9469,0,0
2.4080,0.3535,0.0539,0.3535,0.0539,0.0389,0.9618,0,0
2.8070,0.4052,0.0546,0.4052,0.0546,0.0230,0.9772,0,0
3.0070,0.4204,0.0508,0.4204,0.0508,0.0175,0.9827,0,0
3.4080,0.4317,0.0483,0.4317,0.0483,0.0122,0.9879,0,0
3.8050,0.4370,0.0445,0.4370,0.0445,0.0099,0.9902,0,0
4.0080,0.4377,0.0420,0.4377,0.0420,0.0084,0.9917,0,0
4.4050,0.4417,0.0369,0.4417,0.0369,0.0053,0.9947,0,0
4.8030,0.4404,0.0343,0.4404,0.0343,0.0037,0.9963,0,0
5.0080,0.4390,0.0347,0.4390,0.0347,0.0032,0.9968,0,0
5.4050,0.4384,0.0333,0.4384,0.0333,0.0026,0.9974,0,0
5.8070,0.4429,0.0344,0.4429,0.0344,0.0018,0.9982,0,0
6.0080,0.4433,0.0342,0.4433,0.0342,0.0014,0.9986,0,0
6.4090,0.4434,0.0362,0.4434,0.0362,0.0014,0.9986,0,0
6.8030,0.4453,0.0384,0.4453,0.0384,0.0011,0.9989,0,0
7.0050,0.4459,0.0388,0.4459,0.0388,0.0009,0.9991,0,0
7.4030,0.4477,0.0412,0.4477,0.0412,0.0007,0.9993,0,0
7.6040,0.4494,0.0431,0.4494,0.0431,0.0006,0.9994,0,0
7.8080,0.4490,0.0440,0.4490,0.0440,0.0005,0.9995,0,0
8.2060,0.4516,0.0470,0.4516,0.0470,0.0003,0.9997,0,0
8.4070,0.4523,0.0486,0.4523,0.0486,0.0002,0.9998,0,0
8.8080,0.4521,0.0502,0.4521,0.0502,0.0002,0.9998,0,0
9.0090,0.4520,0.0513,0.4520,0.0513,0.0002,0.9998,0,0
9.2110,0.4524,0.0523,0.4524,0.0523,0.0001,0.9999,0,0
9.6040,0.4521,0.0546,0.4521,0.0546,0.0001,0.9999,0,0
9.8070,0.4522,0.0560,0.4522,0.0560,0.0002,0.9998,0,0
10.0080,0.4519,0.0572,0.4519,0.0572,0.0002,0.9998,0,0
10.4040,0.4529,0.0587,0.4529,0.0587,0.0001,0.9999,0,0
10.6060,0.4528,0.0596,0.4528,0.0596,0.0001,0.9999,0,0
11.0030,0.4529,0.0615,0.4529,0.0615,0.0001,0.9999,0,0
11.2040,0.4528,0.0621,0.4528,0.0621,0.0001,0.9999,0,0
11.4040,0.4527,0.0637,0.4527,0.0637,0.0001,0.9999,0,0
11.8050,0.4527,0.0654,0.4527,0.0654,0.0000,1.0000,0,0
12.0070,0.4529,0.0665,0.4529,0.0665,0.0000,1.0000,0,0
