elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0030,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2040,0.0001,0.0028,0.0001,0.0028,0.0000,1.0000,0,0
1.4050,0.0001,0.0040,0.0001,0.0040,0.0000,1.0000,0,0
1.8030,0.0001,0.0053,0.0001,0.0053,2.3593,0.0945,0,0
2.0040,0.0001,0.0061,0.0001,0.0061,1.5436,0.2136,0,0
2.2040,0.0001,0.0068,0.0001,0.0068,0.4887,0.6134,0,0
2.4050,0.0001,0.0075,0.0001,0.0075,0.2588,0.7719,0,0
2.8030,0.0002,0.0091,0.0002,0.0091,0.1162,0.8903,0,0
3.2040,0.0002,0.0105,0.0002,0.0105,0.2786,0.7568,0,0
3.6040,0.0002,0.0126,0.0002,0.0126,0.2786,0.7568,0,0
3.8040,0.0002,0.0132,0.0002,0.0132,0.1396,0.8697,0,0
4.0040,0.0002,0.0140,0.0002,0.0140,0.4172,0.6589,0,0
4.2040,0.0002,0.0147,0.0002,0.0147,0.2786,0.7568,0,0
4.4040,0.0003,0.0156,0.0003,0.0156,0.1396,0.8697,0,0
4.6040,0.0003,0.0165,0.0003,0.0165,0.0384,0.9623,0,0
4.8040,0.0003,0.0166,0.0003,0.0166,0.0000,1.0000,0,0
5.0040,0.0003,0.0171,0.0003,0.0171,0.0000,1.0000,0,0
5.2040,0.0003,0.0176,0.0003,0.0176,3.0957,0.0452,0,0
5.6040,0.0003,0.0186,0.0003,0.0186,0.3386,0.7127,0,0
5.8070,0.0004,0.0188,0.0004,0.0188,0.1175,0.8891,0,0
6.0050,0.0004,0.0190,0.0004,0.0190,0.1175,0.8891,1,1
