elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2050,0.0000,0.0055,0.0000,0.0055,0.0979,0.9068,0,0
1.6040,0.0001,0.0066,0.0001,0.0066,0.4800,0.6188,0,0
2.0080,0.0001,0.0081,0.0001,0.0081,0.4231,0.6550,0,0
2.4140,0.0001,0.0089,0.0001,0.0089,0.2682,0.7648,0,0
2.8060,0.0002,0.0103,0.0002,0.0103,0.2682,0.7648,0,0
3.0080,0.0002,0.0111,0.0002,0.0111,0.3569,0.6999,0,0
3.4030,0.0002,0.0126,0.0002,0.0126,0.6208,0.5375,0,0
3.6040,0.0002,0.0133,0.0002,0.0133,1.1388,0.3202,0,0
4.0040,0.0002,0.0149,0.0002,0.0149,2.2170,0.1089,0,0
4.2070,0.0002,0.0157,0.0002,0.0157,2.6941,0.0676,0,0
4.6040,0.0002,0.0167,0.0002,0.0167,3.9758,0.0188,0,0
5.0060,0.0003,0.0182,0.0003,0.0182,4.6124,0.0099,0,0
5.4030,0.0003,0.0197,0.0003,0.0197,6.8678,0.0010,0,0
5.6030,0.0003,0.0205,0.0003,0.0205,8.7009,0.0002,0,0
5.8040,0.0003,0.0211,0.0003,0.0211,9.4513,0.0001,0,0
6.0040,0.0003,0.0216,0.0003,0.0216,10.2412,0.0000,1,1
