elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0030,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2030,0.0001,0.0091,0.0001,0.0091,0.0000,1.0000,0,0
1.4040,0.0001,0.0108,0.0001,0.0108,0.0000,1.0000,0,0
1.6070,0.0001,0.0126,0.0001,0.0126,0.0159,0.9842,0,0
2.0040,0.0010,0.0159,0.0010,0.0159,3.4937,0.0304,0,0
2.2040,0.0001,0.0175,0.0001,0.0175,1.7159,0.1798,0,0
2.6030,0.0001,0.0206,0.0001,0.0206,0.5142,0.5980,0,0
2.8040,0.0002,0.0226,0.0002,0.0226,0.6483,0.5229,0,0
3.2040,0.0002,0.0268,0.0002,0.0268,0.5899,0.5544,0,0
3.4040,0.0002,0.0293,0.0002,0.0293,0.3940,0.6743,0,0
3.6070,0.0002,0.0311,0.0002,0.0311,0.1341,0.8745,0,0
4.0030,0.0002,0.0348,0.0002,0.0348,0.1974,0.8209,0,0
4.2030,0.0003,0.0365,0.0003,0.0365,0.1966,0.8215,0,0
4.4030,0.0003,0.0383,0.0003,0.0383,0.3940,0.6743,0,0
4.6030,0.0003,0.0401,0.0003,0.0401,0.3940,0.6743,0,0
4.8040,0.0003,0.0423,0.0003,0.0423,0.1974,0.8209,0,0
5.0060,0.0003,0.0443,0.0003,0.0443,0.5899,0.5544,0,0
5.4030,0.0003,0.0475,0.0003,0.0475,0.7849,0.4561,0,0
5.6040,0.0003,0.0491,0.0003,0.0491,0.7849,0.4561,0,0
5.8040,0.0004,0.0507,0.0004,0.0507,0.9792,0.3756,0,0
6.0040,0.0004,0.0526,0.0004,0.0526,0.7849,0.4561,1,1
