elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2040,0.0001,0.0055,0.0001,0.0055,0.0000,1.0000,0,0
1.4040,0.0001,0.0066,0.0001,0.0066,0.0000,1.0000,0,0
1.6040,0.0001,0.0077,0.0001,0.0077,0.0000,1.0000,0,0
2.0040,0.0001,0.0102,0.0001,0.0102,0.0000,1.0000,0,0
2.2040,0.0001,0.0114,0.0001,0.0114,0.0000,1.0000,0,0
2.4040,0.0001,0.0128,0.0001,0.0128,0.0000,1.0000,0,0
2.6040,0.0001,0.0134,0.0001,0.0134,0.0000,1.0000,0,0
2.8040,0.0002,0.0150,0.0002,0.0150,0.0000,1.0000,0,0
3.2040,0.0002,0.0169,0.0002,0.0169,0.0000,1.0000,0,0
3.4040,0.0002,0.0183,0.0002,0.0183,0.0000,1.0000,0,0
3.6040,0.0002,0.0194,0.0002,0.0194,0.0000,1.0000,0,0
3.8040,0.0002,0.0203,0.0002,0.0203,0.0000,1.0000,0,0
4.0050,0.0002,0.0211,0.0002,0.0211,0.0000,1.0000,0,0
4.4030,0.0003,0.0232,0.0003,0.0232,0.0000,1.0000,0,0
4.6030,0.0003,0.0239,0.0003,0.0239,0.0000,1.0000,0,0
4.8040,0.0003,0.0252,0.0003,0.0252,0.0000,1.0000,0,0
5.2030,0.0003,0.0272,0.0003,0.0272,0.0000,1.0000,0,0
5.4030,0.0003,0.0283,0.0003,0.0283,0.0000,1.0000,0,0
5.6070,0.0003,0.0293,0.0003,0.0293,0.0000,1.0000,0,0
6.0060,0.0004,0.0312,0.0004,0.0312,0.0000,1.0000,1,1
