elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2050,0.0001,0.0087,0.0001,0.0087,0.0000,1.0000,0,0
1.6040,0.0001,0.0125,0.0001,0.0125,0.0000,1.0000,0,0
1.8040,0.0001,0.0148,0.0001,0.0148,0.0000,1.0000,0,0
2.0040,0.0001,0.0170,0.0001,0.0170,0.0000,1.0000,0,0
2.2080,0.0001,0.0195,0.0001,0.0195,0.0000,1.0000,0,0
2.6040,0.0001,0.0229,0.0001,0.0229,0.0000,1.0000,0,0
2.8040,0.0002,0.0252,0.0002,0.0252,0.0000,1.0000,0,0
3.0050,0.0002,0.0268,0.0002,0.0268,0.0000,1.0000,0,0
3.4040,0.0002,0.0318,0.0002,0.0318,0.0000,1.0000,0,0
3.6070,0.0002,0.0339,0.0002,0.0339,0.0000,1.0000,0,0
4.0040,0.0002,0.0386,0.0002,0.0386,0.0000,1.0000,0,0
4.2040,0.0002,0.0405,0.0002,0.0405,0.0000,1.0000,0,0
4.4050,0.0003,0.0421,0.0003,0.0421,0.0000,1.0000,0,0
4.8050,0.0003,0.0457,0.0003,0.0457,0.0000,1.0000,0,0
5.2070,0.0003,0.0502,0.0003,0.0502,0.0000,1.0000,0,0
5.6080,0.0003,0.0547,0.0003,0.0547,0.0000,1.0000,0,0
6.0040,0.0004,0.0586,0.0004,0.0586,0.0000,1.0000,1,1
