elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2050,0.0001,0.0144,0.0001,0.0144,0.0000,1.0000,0,0
1.6040,0.0001,0.0200,0.0001,0.0200,0.0000,1.0000,0,0
1.8060,0.0001,0.0232,0.0001,0.0232,0.0000,1.0000,0,0
2.2040,0.0001,0.0291,0.0001,0.0291,0.0000,1.0000,0,0
2.6040,0.0001,0.0346,0.0001,0.0346,0.0000,1.0000,0,0
3.0050,0.0002,0.0403,0.0002,0.0403,0.0000,1.0000,0,0
3.4040,0.0002,0.0456,0.0002,0.0456,0.0000,1.0000,0,0
3.8040,0.0002,0.0518,0.0002,0.0518,0.0000,1.0000,0,0
4.0080,0.0002,0.0546,0.0002,0.0546,0.0000,1.0000,0,0
4.4070,0.0003,0.0607,0.0003,0.0607,0.0000,1.0000,0,0
4.8050,0.0003,0.0659,0.0003,0.0659,0.0000,1.0000,0,0
5.2040,0.0003,0.0717,0.0003,0.0717,0.0000,1.0000,0,0
5.4050,0.0003,0.0747,0.0003,0.0747,0.0000,1.0000,0,0
5.8050,0.0004,0.0804,0.0004,0.0804,0.0000,1.0000,0,0
6.0070,0.0004,0.0831,0.0004,0.0831,0.0000,1.0000,1,1
