elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0070,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2080,0.0000,0.0102,0.0000,0.0102,0.0000,1.0000,0,0
1.6060,0.0001,0.0148,0.0001,0.0148,0.0000,1.0000,0,0
2.0050,0.0001,0.0183,0.0001,0.0183,0.0000,1.0000,0,0
2.2050,0.0001,0.0198,0.0001,0.0198,0.0000,1.0000,0,0
2.4060,0.0001,0.0219,0.0001,0.0219,0.0000,1.0000,0,0
2.8040,0.0001,0.0255,0.0001,0.0255,0.0000,1.0000,0,0
3.0050,0.0001,0.0267,0.0001,0.0267,0.0000,1.0000,0,0
3.2060,0.0001,0.0286,0.0001,0.0286,0.0000,1.0000,0,0
3.4060,0.0001,0.0305,0.0001,0.0305,0.0000,1.0000,0,0
3.6060,0.0002,0.0325,0.0002,0.0325,0.0000,1.0000,0,0
3.8060,0.0002,0.0346,0.0002,0.0346,0.0000,1.0000,0,0
4.0060,0.0002,0.0363,0.0002,0.0363,0.0000,1.0000,0,0
4.2060,0.0002,0.0385,0.0002,0.0385,0.0000,1.0000,0,0
4.4080,0.0002,0.0405,0.0002,0.0405,0.0000,1.0000,0,0
4.8070,0.0002,0.0446,0.0002,0.0446,0.0000,1.0000,0,0
5.0070,0.0002,0.0464,0.0002,0.0464,0.0000,1.0000,0,0
5.2080,0.0002,0.0487,0.0002,0.0487,0.0000,1.0000,0,0
5.6070,0.0002,0.0521,0.0002,0.0521,0.0000,1.0000,0,0
5.8070,0.0002,0.0537,0.0002,0.0537,0.0000,1.0000,0,0
6.0050,0.0002,0.0559,0.0002,0.0559,0.0000,1.0000,1,1
