elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0030,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2030,0.0001,0.0020,0.0001,0.0020,0.0000,1.0000,0,0
1.4030,0.0001,0.0022,0.0001,0.0022,-0.0000,1.0000,0,0
1.6040,0.0019,0.0027,0.0019,0.0027,4.3044,0.0135,0,0
1.8050,0.0001,0.0038,0.0001,0.0038,2.0996,0.1225,0,0
2.2050,0.0001,0.0043,0.0001,0.0043,0.3676,0.6924,0,0
2.6030,0.0001,0.0058,0.0001,0.0058,0.0388,0.9620,0,0
2.8040,0.0002,0.0060,0.0002,0.0060,-0.0000,1.0000,0,0
3.0050,0.0002,0.0061,0.0002,0.0061,2.4121,0.0896,0,0
3.2080,0.0002,0.0067,0.0002,0.0067,1.0651,0.3447,0,0
3.6080,0.0002,0.0077,0.0002,0.0077,0.3146,0.7301,0,0
4.0040,0.0002,0.0090,0.0002,0.0090,0.5045,0.6038,0,0
4.2050,0.0002,0.0099,0.0002,0.0099,0.4974,0.6081,0,0
4.6030,0.0003,0.0102,0.0003,0.0102,0.4974,0.6081,0,0
4.8060,0.0003,0.0099,0.0003,0.0099,0.4974,0.6081,0,0
5.0060,0.0003,0.0105,0.0003,0.0105,0.2492,0.7794,0,0
5.4060,0.0003,0.0124,0.0003,0.0124,3.0073,0.0494,0,0
5.8040,0.0003,0.0133,0.0003,0.0133,1.2038,0.3001,0,0
6.0040,0.0004,0.0142,0.0004,0.0142,0.7977,0.4504,1,1
