elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0070,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4060,0.0001,0.0038,0.0001,0.0038,0.0000,1.0000,0,0
1.6070,0.0001,0.0042,0.0001,0.0042,0.0000,1.0000,0,0
2.0030,0.0001,0.0054,0.0001,0.0054,0.0000,1.0000,0,0
2.2040,0.0001,0.0061,0.0001,0.0061,0.0000,1.0000,0,0
2.4040,0.0001,0.0065,0.0001,0.0065,0.0000,1.0000,0,0
2.6040,0.0001,0.0069,0.0001,0.0069,0.0000,1.0000,0,0
2.8040,0.0001,0.0069,0.0001,0.0069,0.0000,1.0000,0,0
3.2040,0.0002,0.0081,0.0002,0.0081,0.0000,1.0000,0,0
3.4040,0.0002,0.0083,0.0002,0.0083,0.0000,1.0000,0,0
3.6040,0.0002,0.0086,0.0002,0.0086,0.0000,1.0000,0,0
4.0030,0.0002,0.0092,0.0002,0.0092,0.0000,1.0000,0,0
4.2050,0.0002,0.0098,0.0002,0.0098,0.0000,1.0000,0,0
4.6060,0.0003,0.0104,0.0003,0.0104,0.0000,1.0000,0,0
5.0040,0.0003,0.0110,0.0003,0.0110,0.0000,1.0000,0,0
5.4030,0.0003,0.0119,0.0003,0.0119,0.0000,1.0000,0,0
5.6040,0.0003,0.0122,0.0003,0.0122,0.0000,1.0000,0,0
5.8040,0.0003,0.0127,0.0003,0.0127,0.0000,1.0000,0,0
6.0060,0.0003,0.0127,0.0003,0.0127,0.0000,1.0000,1,1
