elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.1135,0.0023,0.1135,0.0023,0.3211,0.7253,0,0
1.2040,0.2352,0.0043,0.2352,0.0043,0.2623,0.7693,0,0
1.4050,0.3416,0.0091,0.3416,0.0091,0.1919,0.8254,0,0
1.6060,0.4207,0.0066,0.4207,0.0066,0.1543,0.8570,0,0
2.0030,0.5065,0.0018,0.5065,0.0018,0.0875,0.9162,0,0
2.2040,0.5228,0.0039,0.5228,0.0039,0.0605,0.9413,0,0
2.4040,0.5483,0.0094,0.5483,0.0094,0.0399,0.9609,0,0
2.6040,0.5571,0.0111,0.5571,0.0111,0.0222,0.9780,0,0
2.8040,0.5648,0.0131,0.5648,0.0131,0.0169,0.9833,0,0
3.0060,0.5753,0.0130,0.5753,0.0130,0.0145,0.9856,0,0
3.4040,0.5846,0.0118,0.5846,0.0118,0.0082,0.9918,0,0
3.8040,0.5927,0.0105,0.5927,0.0105,0.0063,0.9937,0,0
4.0040,0.5939,0.0112,0.5939,0.0112,0.0048,0.9952,0,0
4.4040,0.5981,0.0099,0.5981,0.0099,0.0038,0.9962,0,0
4.8040,0.5984,0.0053,0.5984,0.0053,0.0036,0.9964,0,0
5.2030,0.5993,0.0047,0.5993,0.0047,0.0032,0.9968,0,0
5.4050,0.6022,0.0047,0.6022,0.0047,0.0027,0.9973,0,0
5.8040,0.6006,0.0064,0.6006,0.0064,0.0027,0.9973,0,0
6.0040,0.6025,0.0083,0.6025,0.0083,0.0025,0.9975,0,0
6.2050,0.6017,0.0060,0.6017,0.0060,0.0025,0.9975,0,0
6.6050,0.5996,0.0072,0.5996,0.0072,0.0026,0.9974,0,0
7.0030,0.6008,0.0073,0.6008,0.0073,0.0026,0.9974,0,0
7.2040,0.5971,0.0076,0.5971,0.0076,0.0026,0.9974,0,0
7.6040,0.5924,0.0093,0.5924,0.0093,0.0021,0.9979,0,0
8.0030,0.5931,0.0103,0.5931,0.0103,0.0021,0.9979,0,0
8.2050,0.5931,0.0100,0.5931,0.0100,0.0020,0.9980,0,0
8.4060,0.5917,0.0092,0.5917,0.0092,0.0019,0.9981,0,0
8.8030,0.5932,0.0113,0.5932,0.0113,0.0016,0.9984,0,0
9.0040,0.5916,0.0096,0.5916,0.0096,0.0016,0.9984,0,0
9.2040,0.5918,0.0094,0.5918,0.0094,0.0015,0.9985,0,0
9.4090,0.5911,0.0093,0.5911,0.0093,0.0015,0.9985,0,0
9.8030,0.5907,0.0089,0.5907,0.0089,0.0013,0.9987,0,0
10.0030,0.5920,0.0086,0.5920,0.0086,0.0012,0.9988,0,0
10.2030,0.5919,0.0078,0.5919,0.0078,0.0011,0.9989,0,0
10.4050,0.5934,0.0082,0.5934,0.0082,0.0010,0.9990,0,0
10.6070,0.5931,0.0078,0.5931,0.0078,0.0009,0.9991,0,0
11.0050,0.5914,0.0058,0.5914,0.0058,0.0007,0.9993,0,0
11.4030,0.5912,0.0045,0.5912,0.0045,0.0006,0.9994,0,0
11.6030,0.5914,0.0034,0.5914,0.0034,0.0007,0.9993,0,0
11.8030,0.5911,0.0032,0.5911,0.0032,0.0006,0.9994,0,0
12.0030,0.5906,0.0034,0.5906,0.0034,0.0005,0.9995,0,0
