elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0030,0.1170,0.0069,0.1170,0.0069,0.3214,0.7251,0,0
1.2070,0.2152,0.0089,0.2152,0.0089,0.2646,0.7675,0,0
1.6040,0.3605,0.0140,0.3605,0.0140,0.1512,0.8597,0,0
1.8060,0.4265,0.0086,0.4265,0.0086,0.1101,0.8957,0,0
2.2030,0.5172,0.0066,0.5172,0.0066,0.0758,0.9270,0,0
2.4030,0.5574,0.0064,0.5574,0.0064,0.0575,0.9441,0,0
2.6050,0.5898,0.0087,0.5898,0.0087,0.0517,0.9496,0,0
3.0040,0.6429,0.0130,0.6429,0.0130,0.0278,0.9726,0,0
3.2050,0.6560,0.0162,0.6560,0.0162,0.0239,0.9764,0,0
3.6040,0.6864,0.0194,0.6864,0.0194,0.0086,0.9915,0,0
3.8040,0.6933,0.0192,0.6933,0.0192,0.0072,0.9928,0,0
4.0050,0.6959,0.0178,0.6959,0.0178,0.0063,0.9937,0,0
4.4030,0.7024,0.0170,0.7024,0.0170,0.0041,0.9959,0,0
4.6080,0.7049,0.0171,0.7049,0.0171,0.0033,0.9967,0,0
5.0030,0.7078,0.0163,0.7078,0.0163,0.0024,0.9976,0,0
5.2040,0.7095,0.0155,0.7095,0.0155,0.0020,0.9980,0,0
5.4040,0.7109,0.0144,0.7109,0.0144,0.0017,0.9983,0,0
5.6040,0.7132,0.0128,0.7132,0.0128,0.0009,0.9991,0,0
5.8040,0.7132,0.0122,0.7132,0.0122,0.0008,0.9992,0,0
6.2040,0.7123,0.0092,0.7123,0.0092,0.0006,0.9994,0,0
6.6030,0.7141,0.0063,0.7141,0.0063,0.0001,0.9999,0,0
6.8040,0.7141,0.0053,0.7141,0.0053,0.0001,0.9999,0,0
7.0040,0.7141,0.0039,0.7141,0.0039,0.0000,1.0000,0,0
7.4040,0.7139,0.0021,0.7139,0.0021,0.0000,1.0000,0,0
7.8030,0.7138,0.0006,0.7138,0.0006,0.0000,1.0000,0,0
8.0040,0.7135,0.0017,0.7135,0.0017,0.0000,1.0000,0,0
8.2060,0.7138,0.0026,0.7138,0.0026,0.0000,1.0000,0,0
8.6040,0.7133,0.0050,0.7133,0.0050,0.0000,1.0000,0,0
8.8050,0.7131,0.0063,0.7131,0.0063,0.0000,1.0000,0,0
9.2040,0.7131,0.0085,0.7131,0.0085,0.0000,1.0000,0,0
9.4060,0.7129,0.0095,0.7129,0.0095,0.0000,1.0000,0,0
9.8030,0.7129,0.0116,0.7129,0.0116,0.0000,1.0000,0,0
10.0040,0.7130,0.0122,0.7130,0.0122,0.0000,1.0000,0,0
10.4030,0.7133,0.0150,0.7133,0.0150,0.0000,1.0000,0,0
10.6030,0.7133,0.0166,0.7133,0.0166,0.0000,1.0000,0,0
10.8040,0.7133,0.0177,0.7133,0.0177,0.0001,0.9999,0,0
11.0040,0.7132,0.0196,0.7132,0.0196,0.0000,1.0000,0,0
11.4050,0.7131,0.0217,0.7131,0.0217,0.0001,0.9999,0,0
11.8040,0.7130,0.0243,0.7130,0.0243,0.0001,0.9999,0,0
