elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0030,0.0922,0.0021,0.0922,0.0021,0.3388,0.7126,0,0
1.2070,0.2285,0.0060,0.2285,0.0060,0.2635,0.7684,0,0
1.6030,0.4057,0.0185,0.4057,0.0185,0.1560,0.8556,0,0
1.8040,0.4616,0.0088,0.4616,0.0088,0.1106,0.8953,0,0
2.0040,0.5000,0.0159,0.5000,0.0159,0.0895,0.9144,0,0
2.2040,0.5327,0.0119,0.5327,0.0119,0.0622,0.9397,0,0
2.4040,0.5616,0.0186,0.5616,0.0186,0.0454,0.9556,0,0
2.6040,0.5683,0.0217,0.5683,0.0217,0.0340,0.9666,0,0
3.0040,0.5706,0.0218,0.5706,0.0218,0.0213,0.9789,0,0
3.2070,0.5778,0.0198,0.5778,0.0198,0.0190,0.9811,0,0
3.6040,0.5785,0.0181,0.5785,0.0181,0.0159,0.9842,0,0
3.8040,0.5755,0.0174,0.5755,0.0174,0.0134,0.9867,0,0
4.2040,0.5701,0.0163,0.5701,0.0163,0.0103,0.9898,0,0
4.6030,0.5671,0.0157,0.5671,0.0157,0.0085,0.9915,0,0
4.8040,0.5652,0.0138,0.5652,0.0138,0.0083,0.9917,0,0
5.0040,0.5639,0.0136,0.5639,0.0136,0.0083,0.9917,0,0
5.4040,0.5584,0.0131,0.5584,0.0131,0.0081,0.9919,0,0
5.6040,0.5591,0.0133,0.5591,0.0133,0.0081,0.9919,0,0
6.0030,0.5593,0.0140,0.5593,0.0140,0.0080,0.9920,0,0
6.2040,0.5569,0.0137,0.5569,0.0137,0.0081,0.9919,0,0
6.4040,0.5564,0.0137,0.5564,0.0137,0.0083,0.9917,0,0
6.6040,0.5573,0.0139,0.5573,0.0139,0.0083,0.9917,0,0
7.0060,0.5544,0.0124,0.5544,0.0124,0.0079,0.9922,0,0
7.4040,0.5544,0.0112,0.5544,0.0112,0.0077,0.9923,0,0
7.6060,0.5550,0.0104,0.5550,0.0104,0.0077,0.9923,0,0
8.0040,0.5549,0.0087,0.5549,0.0087,0.0074,0.9926,0,0
8.4040,0.5581,0.0082,0.5581,0.0082,0.0076,0.9924,0,0
8.6040,0.5605,0.0077,0.5605,0.0077,0.0078,0.9923,0,0
8.8050,0.5606,0.0069,0.5606,0.0069,0.0077,0.9923,0,0
9.2040,0.5598,0.0049,0.5598,0.0049,0.0077,0.9923,0,0
9.6040,0.5644,0.0037,0.5644,0.0037,0.0079,0.9921,0,0
9.8040,0.5699,0.0046,0.5699,0.0046,0.0080,0.9920,0,0
10.2030,0.5796,0.0058,0.5796,0.0058,0.0075,0.9925,0,0
10.4060,0.5813,0.0052,0.5813,0.0052,0.0074,0.9926,0,0
10.8030,0.5761,0.0008,0.5761,0.0008,0.0076,0.9924,0,0
11.0040,0.5784,0.0007,0.5784,0.0007,0.0074,0.9926,0,0
11.2040,0.5828,0.0014,0.5828,0.0014,0.0072,0.9929,0,0
11.6030,0.5899,0.0023,0.5899,0.0023,0.0065,0.9935,0,0
11.8040,0.5975,0.0044,0.5975,0.0044,0.0056,0.9944,0,0
