elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2050,0.0002,0.0044,0.0002,0.0044,0.0000,1.0000,0,0
1.4050,0.0003,0.0046,0.0003,0.0046,0.0000,1.0000,0,0
1.6050,0.0003,0.0055,0.0003,0.0055,0.0000,1.0000,0,0
1.8050,0.0004,0.0060,0.0004,0.0060,0.0000,1.0000,0,0
2.0060,0.0004,0.0063,0.0004,0.0063,0.0000,1.0000,0,0
2.4060,0.0005,0.0090,0.0005,0.0090,0.0000,1.0000,0,0
2.6090,0.0005,0.0095,0.0005,0.0095,0.0000,1.0000,0,0
3.0040,0.0006,0.0108,0.0006,0.0108,0.0000,1.0000,0,0
3.2040,0.0007,0.0112,0.0007,0.0112,0.0000,1.0000,0,0
3.4050,0.0007,0.0123,0.0007,0.0123,0.0000,1.0000,0,0
3.6050,0.0007,0.0130,0.0007,0.0130,0.0000,1.0000,0,0
4.0060,0.0008,0.0139,0.0008,0.0139,0.0000,1.0000,0,0
4.4050,0.0009,0.0157,0.0009,0.0157,0.0000,1.0000,0,0
4.6050,0.0010,0.0165,0.0010,0.0165,0.0000,1.0000,0,0
4.8070,0.0021,0.0169,0.0021,0.0169,0.0000,1.0000,0,0
5.2040,0.0184,0.0187,0.0184,0.0187,0.0000,1.0000,0,0
5.4050,0.0270,0.0197,0.0270,0.0197,0.0000,1.0000,0,0
5.6050,0.0139,0.0202,0.0139,0.0202,0.0000,1.0000,0,0
5.8060,0.0058,0.0208,0.0058,0.0208,0.0000,1.0000,0,0
6.0050,0.0351,0.0218,0.0351,0.0218,0.0000,1.0000,1,1
