elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0070,0.1185,0.0013,0.1185,0.0013,0.3263,0.7216,0,0
1.4040,0.2830,0.0019,0.2830,0.0019,0.2177,0.8044,0,0
1.6070,0.3487,0.0042,0.3487,0.0042,0.1756,0.8389,0,0
1.8070,0.4044,0.0000,0.4044,0.0000,0.1331,0.8754,0,0
2.2050,0.4532,0.0056,0.4532,0.0056,0.0842,0.9192,0,0
2.4050,0.4891,0.0036,0.4891,0.0036,0.0574,0.9442,0,0
2.8040,0.5353,0.0002,0.5353,0.0002,0.0396,0.9612,0,0
3.0050,0.5445,0.0004,0.5445,0.0004,0.0304,0.9700,0,0
3.2050,0.5553,0.0020,0.5553,0.0020,0.0242,0.9761,0,0
3.4050,0.5670,0.0034,0.5670,0.0034,0.0219,0.9783,0,0
3.6070,0.5705,0.0035,0.5705,0.0035,0.0175,0.9826,0,0
4.0060,0.5826,0.0044,0.5826,0.0044,0.0124,0.9877,0,0
4.4080,0.5933,0.0001,0.5933,0.0001,0.0108,0.9893,0,0
4.8070,0.5972,0.0015,0.5972,0.0015,0.0106,0.9895,0,0
5.0080,0.5953,0.0022,0.5953,0.0022,0.0108,0.9893,0,0
5.4050,0.5991,0.0046,0.5991,0.0046,0.0115,0.9886,0,0
5.6050,0.5923,0.0053,0.5923,0.0053,0.0118,0.9883,0,0
5.8080,0.5883,0.0058,0.5883,0.0058,0.0124,0.9877,0,0
6.0080,0.5850,0.0052,0.5850,0.0052,0.0121,0.9879,0,0
6.4050,0.5871,0.0080,0.5871,0.0080,0.0117,0.9884,0,0
6.6080,0.5853,0.0087,0.5853,0.0087,0.0115,0.9886,0,0
7.0040,0.5847,0.0105,0.5847,0.0105,0.0117,0.9884,0,0
7.2050,0.5772,0.0108,0.5772,0.0108,0.0121,0.9879,0,0
7.4050,0.5795,0.0117,0.5795,0.0117,0.0128,0.9873,0,0
7.8040,0.5881,0.0142,0.5881,0.0142,0.0128,0.9873,0,0
8.0060,0.5861,0.0158,0.5861,0.0158,0.0119,0.9882,0,0
8.2060,0.5890,0.0168,0.5890,0.0168,0.0127,0.9874,0,0
8.4080,0.5868,0.0177,0.5868,0.0177,0.0118,0.9882,0,0
8.8050,0.5930,0.0208,0.5930,0.0208,0.0113,0.9887,0,0
9.0050,0.5976,0.0225,0.5976,0.0225,0.0114,0.9887,0,0
9.2050,0.5948,0.0233,0.5948,0.0233,0.0111,0.9889,0,0
9.6040,0.5764,0.0230,0.5764,0.0230,0.0113,0.9887,0,0
9.8070,0.5830,0.0254,0.5830,0.0254,0.0112,0.9889,0,0
10.2060,0.5876,0.0281,0.5876,0.0281,0.0112,0.9888,0,0
10.6060,0.5779,0.0285,0.5779,0.0285,0.0099,0.9902,0,0
11.0070,0.5696,0.0290,0.5696,0.0290,0.0102,0.9899,0,0
11.2080,0.5661,0.0298,0.5661,0.0298,0.0098,0.9903,0,0
11.6050,0.5695,0.0328,0.5695,0.0328,0.0101,0.9900,0,0
11.8060,0.5702,0.0337,0.5702,0.0337,0.0100,0.9900,0,0
12.0070,0.5685,0.0341,0.5685,0.0341,0.0105,0.9896,0,0
