elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0050,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4040,0.0001,0.0115,0.0001,0.0115,0.0000,1.0000,0,0
1.8040,0.0001,0.0152,0.0001,0.0152,0.0000,1.0000,0,0
2.0040,0.0001,0.0170,0.0001,0.0170,0.0000,1.0000,0,0
2.4060,0.0002,0.0206,0.0002,0.0206,0.0000,1.0000,0,0
2.8040,0.0002,0.0248,0.0002,0.0248,0.0000,1.0000,0,0
3.0060,0.0002,0.0266,0.0002,0.0266,0.0000,1.0000,0,0
3.4040,0.0003,0.0304,0.0003,0.0304,0.0000,1.0000,0,0
3.6040,0.0003,0.0322,0.0003,0.0322,0.0000,1.0000,0,0
3.8040,0.0003,0.0339,0.0003,0.0339,0.0000,1.0000,0,0
4.0060,0.0003,0.0357,0.0003,0.0357,0.0000,1.0000,0,0
4.2070,0.0003,0.0376,0.0003,0.0376,0.0000,1.0000,0,0
4.6030,0.0004,0.0419,0.0004,0.0419,0.0000,1.0000,0,0
4.8040,0.0004,0.0439,0.0004,0.0439,0.0000,1.0000,0,0
5.2030,0.0004,0.0472,0.0004,0.0472,0.0000,1.0000,0,0
5.4040,0.0004,0.0494,0.0004,0.0494,0.0000,1.0000,0,0
5.6040,0.0005,0.0513,0.0005,0.0513,0.0000,1.0000,0,0
5.8080,0.0005,0.0530,0.0005,0.0530,0.0000,1.0000,0,0
