elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0902,0.0123,0.0902,0.0123,0.3376,0.7134,0,0
1.4070,0.3295,0.0073,0.3295,0.0073,0.2200,0.8025,0,0
1.8050,0.4546,0.0028,0.4546,0.0028,0.1260,0.8816,0,0
2.0060,0.4889,0.0033,0.4889,0.0033,0.0949,0.9095,0,0
2.4040,0.5339,0.0172,0.5339,0.0172,0.0522,0.9492,0,0
2.6040,0.5389,0.0184,0.5389,0.0184,0.0394,0.9614,0,0
2.8040,0.5502,0.0159,0.5502,0.0159,0.0310,0.9695,0,0
3.0040,0.5588,0.0182,0.5588,0.0182,0.0227,0.9776,0,0
3.4040,0.5754,0.0183,0.5754,0.0183,0.0097,0.9904,0,0
3.6080,0.5725,0.0196,0.5725,0.0196,0.0061,0.9939,0,0
4.0030,0.5814,0.0151,0.5814,0.0151,0.0047,0.9953,0,0
4.2040,0.5850,0.0129,0.5850,0.0129,0.0042,0.9958,0,0
4.6080,0.5852,0.0112,0.5852,0.0112,0.0034,0.9966,0,0
5.0040,0.5894,0.0074,0.5894,0.0074,0.0021,0.9979,0,0
5.2040,0.5894,0.0061,0.5894,0.0061,0.0020,0.9980,0,0
5.4040,0.5882,0.0055,0.5882,0.0055,0.0017,0.9984,0,0
5.6040,0.5880,0.0045,0.5880,0.0045,0.0014,0.9986,0,0
6.0040,0.5869,0.0023,0.5869,0.0023,0.0014,0.9986,0,0
6.2060,0.5869,0.0009,0.5869,0.0009,0.0010,0.9990,0,0
6.6030,0.5872,0.0027,0.5872,0.0027,0.0008,0.9992,0,0
6.8030,0.5871,0.0037,0.5871,0.0037,0.0008,0.9992,0,0
7.0040,0.5870,0.0039,0.5870,0.0039,0.0009,0.9991,0,0
7.2040,0.5871,0.0052,0.5871,0.0052,0.0008,0.9992,0,0
7.4040,0.5872,0.0057,0.5872,0.0057,0.0007,0.9993,0,0
7.6040,0.5869,0.0060,0.5869,0.0060,0.0009,0.9991,0,0
7.8060,0.5867,0.0069,0.5867,0.0069,0.0010,0.9990,0,0
8.2040,0.5868,0.0102,0.5868,0.0102,0.0007,0.9993,0,0
8.4040,0.5867,0.0110,0.5867,0.0110,0.0008,0.9992,0,0
8.6040,0.5868,0.0126,0.5868,0.0126,0.0007,0.9993,0,0
8.8070,0.5867,0.0123,0.5867,0.0123,0.0008,0.9992,0,0
9.0070,0.5866,0.0136,0.5866,0.0136,0.0008,0.9992,0,0
9.4040,0.5869,0.0161,0.5869,0.0161,0.0007,0.9993,0,0
9.6040,0.5869,0.0173,0.5869,0.0173,0.0006,0.9994,0,0
9.8040,0.5870,0.0193,0.5870,0.0193,0.0005,0.9995,0,0
10.0040,0.5870,0.0205,0.5870,0.0205,0.0005,0.9995,0,0
10.4030,0.5868,0.0222,0.5868,0.0222,0.0006,0.9994,0,0
10.6040,0.5869,0.0238,0.5869,0.0238,0.0005,0.9995,0,0
10.8040,0.5871,0.0249,0.5871,0.0249,0.0004,0.9996,0,0
11.0040,0.5869,0.0259,0.5869,0.0259,0.0005,0.9995,0,0
11.2050,0.5868,0.0270,0.5868,0.0270,0.0005,0.9995,0,0
11.4050,0.5871,0.0280,0.5871,0.0280,0.0003,0.9997,0,0
11.8040,0.5872,0.0298,0.5872,0.0298,0.0002,0.9998,0,0
