elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4080,0.0001,0.0114,0.0001,0.0114,0.0000,1.0000,0,0
1.8030,0.0002,0.0152,0.0002,0.0152,0.0000,1.0000,0,0
2.0070,0.0002,0.0168,0.0002,0.0168,0.0000,1.0000,0,0
2.4050,0.0002,0.0202,0.0002,0.0202,0.0000,1.0000,0,0
2.8050,0.0002,0.0236,0.0002,0.0236,0.0000,1.0000,0,0
3.2040,0.0003,0.0273,0.0003,0.0273,0.0000,1.0000,0,0
3.4040,0.0003,0.0294,0.0003,0.0294,0.0000,1.0000,0,0
3.6050,0.0003,0.0313,0.0003,0.0313,0.0000,1.0000,0,0
4.0040,0.0004,0.0342,0.0004,0.0342,0.0000,1.0000,0,0
4.2040,0.0004,0.0362,0.0004,0.0362,0.0000,1.0000,0,0
4.4040,0.0004,0.0380,0.0004,0.0380,0.0000,1.0000,0,0
4.6040,0.0004,0.0401,0.0004,0.0401,0.0000,1.0000,0,0
4.8050,0.0004,0.0421,0.0004,0.0421,0.0000,1.0000,0,0
5.2050,0.0005,0.0464,0.0005,0.0464,0.0000,1.0000,0,0
5.6050,0.0005,0.0504,0.0005,0.0504,0.0000,1.0000,0,0
6.0050,0.0006,0.0539,0.0006,0.0539,0.0000,1.0000,0,0
