elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0030,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.2040,0.0001,0.0029,0.0001,0.0029,0.0000,1.0000,0,0
1.6040,0.0019,0.0043,0.0019,0.0043,4.3044,0.0135,0,0
2.0040,0.0001,0.0052,0.0001,0.0052,1.6063,0.2006,0,0
2.2050,0.0001,0.0055,0.0001,0.0055,0.7392,0.4775,0,0
2.4060,0.0001,0.0062,0.0001,0.0062,0.2703,0.7632,0,0
2.8040,0.0002,0.0074,0.0002,0.0074,0.0000,1.0000,0,0
3.0040,0.0002,0.0080,0.0002,0.0080,0.0000,1.0000,0,0
3.4030,0.0002,0.0092,0.0002,0.0092,1.4479,0.2351,0,0
3.6040,0.0002,0.0091,0.0002,0.0091,0.8135,0.4433,0,0
4.0080,0.0002,0.0106,0.0002,0.0106,0.4162,0.6596,0,0
4.4040,0.0003,0.0117,0.0003,0.0117,1.2393,0.2896,0,0
4.6040,0.0003,0.0122,0.0003,0.0122,2.6503,0.0706,0,0
4.8040,0.0003,0.0131,0.0003,0.0131,5.1710,0.0057,0,0
5.2030,0.0003,0.0146,0.0003,0.0146,9.9954,0.0000,0,0
5.4070,0.0003,0.0155,0.0003,0.0155,13.6730,0.0000,0,0
5.8050,0.0004,0.0163,0.0004,0.0163,23.9009,0.0000,0,0
6.0060,0.0004,0.0174,0.0004,0.0174,26.6641,0.0000,1,1
