elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0060,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4040,0.0001,0.0074,0.0001,0.0074,0.0000,1.0000,0,0
1.8040,0.0001,0.0096,0.0001,0.0096,0.0000,1.0000,0,0
2.0060,0.0010,0.0105,0.0010,0.0105,3.4938,0.0304,0,0
2.4040,0.0001,0.0124,0.0001,0.0124,1.2404,0.2893,0,0
2.6050,0.0001,0.0138,0.0001,0.0138,0.7458,0.4744,0,0
3.0030,0.0002,0.0166,0.0002,0.0166,1.1741,0.3091,0,0
3.2040,0.0002,0.0184,0.0002,0.0184,0.2953,0.7443,0,0
3.4070,0.0002,0.0196,0.0002,0.0196,0.2953,0.7443,0,0
3.6070,0.0002,0.0205,0.0002,0.0205,0.0000,1.0000,0,0
4.0030,0.0002,0.0231,0.0002,0.0231,0.0000,1.0000,0,0
4.2040,0.0002,0.0240,0.0002,0.0240,0.0866,0.9170,0,0
4.4050,0.0003,0.0250,0.0003,0.0250,0.0000,1.0000,0,0
4.6060,0.0003,0.0257,0.0003,0.0257,2.2315,0.1074,0,0
5.0040,0.0003,0.0278,0.0003,0.0278,0.2528,0.7766,0,0
5.2040,0.0003,0.0288,0.0003,0.0288,0.1266,0.8810,0,0
5.4040,0.0003,0.0300,0.0003,0.0300,0.1092,0.8965,0,0
5.6040,0.0003,0.0308,0.0003,0.0308,0.1339,0.8747,0,0
5.8040,0.0003,0.0317,0.0003,0.0317,0.1339,0.8747,0,0
6.0050,0.0004,0.0327,0.0004,0.0327,0.0215,0.9787,1,1
