method,pert,run_id,reloc_ok,task_ok,retries,dt_L0_s,dt_L1_s,linear_L0_m,linear_L1_m,angular_L0_rad,angular_L1_rad,e_pass_linear_L0,e_pass_yaw_L0,e_tr_sigma_L0,e_C_t_L0,e_pass_linear_L1,e_pass_yaw_L1,e_tr_sigma_L1,e_C_t_L1,e_pass_linear_init_L0,e_pass_yaw_init_L0,e_pass_linear_init_L1,e_pass_yaw_init_L1,mean_linear_after_L0,max_linear_after_L0,std_linear_after_L0,mean_linear_after_L1,max_linear_after_L1,std_linear_after_L1,false_accept,hlf_L0,hlf_L1,hlf_any,pert_offset_xy_m,corr_lin_L0,corr_lin_L1
relocc,0.25_0.25_0.15,1,2,False,1,18.431,51.647,0.35,0.35,0.16,0.16,0.3553,0.189,0.0053,0.8986,0.3534,0.1635,0.0,1.0,0.0021,0.039,0.0002,0.0135,0.3773,0.4115,0.0238,0.3167,0.3534,0.0385,1,1,1,1,0.353553,-0.0049,0.0004
relocc,0.25_0.25_0.15,2,2,False,2,104.075,6.487,0.35,0.35,0.18,0.18,0.3553,0.2045,0.0075,0.8602,0.3532,0.1761,0.0,1.0,0.0021,0.0545,0.0004,0.0261,0.3669,0.3827,0.012,0.2712,0.3532,0.0874,1,1,1,1,0.353553,-0.0049,0.001
relocc,0.25_0.25_0.15,3,1,False,3,6.597,,0.35,0.35,0.14,0.14,0.3541,0.1362,0.0,1.0,,,,,0.0007,0.0138,,,0.3772,0.4125,0.0246,,,,0,0,,0,0.353553,-0.0015,
relocc,0.25_0.25_0.15,4,2,False,2,99.173,6.578,0.35,0.35,0.19,0.19,0.3546,0.2039,0.0042,0.92,0.3534,0.1884,0.0,1.0,0.0013,0.0539,0.0002,0.0384,0.3797,0.4183,0.0269,0.3189,0.3534,0.0425,1,1,1,1,0.353553,-0.003,0.0004
relocc,0.25_0.25_0.15,5,2,True,0,6.524,6.535,0.35,0.35,0.12,0.12,0.3541,0.1204,0.0,1.0,0.3533,0.12,0.0,1.0,0.0007,0.0296,0.0004,0.03,0.3787,0.4143,0.026,0.3248,0.3533,0.035,0,0,0,0,0.353553,-0.0015,0.0007
relocc,0.4_0.4_0.2,1,0,False,4,,,0.57,0.57,0.22,0.22,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,
relocc,0.4_0.4_0.2,2,0,False,4,,,0.57,0.57,0.2,0.2,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,
relocc,0.4_0.4_0.2,3,1,False,2,27.755,,0.57,0.57,0.24,0.24,0.4836,0.1412,0.0028,0.9458,,,,,0.64,0.0588,,,0.4564,0.4836,0.0387,,,,0,1,,1,0.565685,0.1451,
relocc,0.4_0.4_0.2,4,0,False,4,,,0.57,0.57,0.2,0.2,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,
relocc,0.4_0.4_0.2,5,0,False,4,,,0.57,0.57,0.19,0.19,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,

